,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15,n_week,week_year,month_year
50,580.9,555.92,426.98,361.05,604.26,302.22,550.18,78.55,27310.64,22423.26,35360.11,16912.35,0.0,0.0,0.0,49614.18,51,2020-51,2020-12
51,2038.06,1599.52,1080.75,692.03,1156.26,993.61,815.37,363.12,61622.79,23147.7,44802.29,62574.52,0.0,0.0,0.0,155757.13,52,2020-52,2020-12
52,163.34,468.3,377.09,78.29,439.64,136.42,364.5,141.77,2981.72,9786.51,2381.34,-2021.27,0.0,0.0,0.0,57378.61,53,2021-01,2021-01
53,1316.29,360.96,653.17,672.26,1344.92,617.96,1845.04,196.98,42479.71,42347.75,53954.38,46658.12,0.0,0.0,0.0,184648.08,54,2021-02,2021-01
54,571.12,467.91,672.36,331.5,317.38,292.32,443.55,104.17,39667.09,25499.08,67377.81,46915.99,0.0,0.0,0.0,72555.21,55,2021-03,2021-01
55,1109.41,1762.2,849.93,721.21,1377.93,446.02,1752.12,495.71,54747.75,45015.85,43533.83,77561.19,0.0,0.0,0.0,157345.86,56,2021-04,2021-01
56,877.14,1373.77,1469.91,837.67,1322.14,524.71,1946.54,555.33,18286.72,18833.9,8366.78,33971.09,0.0,0.0,0.0,163109.22,57,2021-05,2021-02
57,959.34,128.39,503.14,384.96,949.09,330.75,617.81,267.73,22912.09,18998.09,38724.68,22393.39,0.0,0.0,0.0,76583.97,58,2021-06,2021-02
58,1905.37,1136.61,1088.14,1145.06,2651.22,1024.85,1729.7,824.13,99768.27,116064.65,204604.55,144152.05,0.0,0.0,0.0,213199.68,59,2021-07,2021-02
59,212.81,732.14,182.12,312.19,692.17,351.6,560.03,75.97,11568.96,30601.05,32632.11,29361.32,0.0,0.0,0.0,50198.91,60,2021-08,2021-02
60,1248.11,2312.18,1510.66,996.46,2051.72,817.64,1578.52,623.71,16722.17,17582.49,8834.89,25894.63,0.0,0.0,0.0,125229.67,61,2021-09,2021-03
61,1557.31,1458.49,458.03,621.96,1291.78,382.95,997.52,755.25,40333.64,32695.3,35843.34,62218.27,0.0,0.0,0.0,63834.25,62,2021-10,2021-03
62,1259.98,606.09,387.15,383.39,837.57,318.72,657.4,254.2,90162.87,49306.78,83882.01,37740.9,0.0,0.0,0.0,21801.41,63,2021-11,2021-03
63,3302.0,2687.09,1832.82,1196.92,2969.22,1317.89,2516.76,862.09,63800.41,132722.09,201220.33,97205.39,0.0,0.0,0.0,75818.75,64,2021-12,2021-03
64,2068.88,1133.33,1353.63,394.93,1175.4,596.19,1556.02,551.72,13097.32,29770.37,38307.29,2083.16,0.0,0.0,0.0,33622.83,65,2021-13,2021-04
65,1747.19,1130.84,1165.53,349.34,972.64,761.12,1604.03,482.74,44143.62,38462.16,52196.59,70875.46,0.0,0.0,0.0,24825.56,66,2021-14,2021-04
66,1997.33,672.58,364.79,743.67,839.29,454.01,1143.99,614.76,56557.01,67238.9,74319.15,105399.23,0.0,0.0,0.0,20335.48,67,2021-15,2021-04
67,881.02,1209.29,198.25,642.62,293.36,296.56,1093.89,342.79,15064.78,46117.89,47479.55,27871.14,0.0,0.0,0.0,22833.89,68,2021-16,2021-04
68,753.8,1527.51,66.13,347.71,640.56,249.88,1170.99,49.1,5656.57,2095.11,15592.06,12463.87,0.0,0.0,0.0,22067.4,69,2021-17,2021-04
69,1134.0,1651.57,774.64,220.21,420.04,729.35,1098.42,230.27,52694.55,43783.41,38758.99,58994.9,0.0,0.0,0.0,30928.44,70,2021-18,2021-05
70,824.63,459.77,389.93,144.15,381.22,457.6,289.97,34.81,65667.35,35649.82,35850.04,45385.69,0.0,0.0,0.0,20464.69,71,2021-19,2021-05
71,845.35,171.33,545.48,16.43,570.56,329.98,348.46,114.45,31486.58,21166.52,43774.23,32247.16,0.0,0.0,0.0,28146.46,72,2021-20,2021-05
72,1906.32,997.95,244.28,200.21,846.14,663.53,1385.27,664.36,37291.8,12769.78,29079.11,8875.05,0.0,0.0,0.0,102138.02,73,2021-21,2021-05
73,2481.75,2209.47,957.27,782.24,2204.66,885.19,1646.94,856.03,72271.56,25740.64,97864.99,41580.79,0.0,0.0,0.0,119966.6,74,2021-22,2021-06
74,915.36,884.46,516.85,855.36,888.62,330.39,749.31,426.47,96058.99,76189.38,110399.93,101214.38,0.0,0.0,0.0,75998.94,75,2021-23,2021-06
75,1953.83,1824.16,2275.46,2018.79,2301.05,946.65,1671.27,971.93,128474.1,72952.84,81930.32,122619.75,0.0,0.0,0.0,184302.84,76,2021-24,2021-06
76,498.59,671.88,622.77,1182.03,1330.28,848.4,945.58,511.55,26974.44,34941.56,42377.82,39400.82,0.0,0.0,0.0,132570.16,77,2021-25,2021-06
77,424.83,1552.43,1064.62,863.25,1307.76,212.95,717.54,651.81,49430.9,34211.0,69134.61,96843.76,0.0,0.0,0.0,146263.53,78,2021-26,2021-07
78,1018.84,1058.77,1387.31,957.95,1563.66,448.37,590.26,646.11,127764.53,61143.17,98340.05,141666.0,0.0,0.0,0.0,100597.13,79,2021-27,2021-07
79,703.96,726.66,257.06,279.76,537.67,635.14,643.96,268.67,57433.1,8075.02,36435.82,14790.78,0.0,0.0,0.0,46402.43,80,2021-28,2021-07
80,1175.6,1423.24,1338.76,1178.69,2319.14,1010.99,1290.95,1145.81,65062.66,40446.48,22158.56,-3795.2,0.0,0.0,0.0,162560.23,81,2021-29,2021-07
81,0.0,420.79,683.35,240.45,0.0,230.92,45.93,143.28,24828.01,32022.56,16371.4,17058.8,0.0,0.0,0.0,28282.01,82,2021-30,2021-07
82,487.93,1435.67,975.58,521.17,525.46,856.65,542.51,458.02,126482.91,106151.1,163073.11,119115.36,0.0,0.0,0.0,66017.05,83,2021-31,2021-08
83,1536.45,1922.16,3110.55,1380.48,3940.73,1287.55,1654.18,608.71,113201.99,151968.61,126395.0,179222.06,0.0,0.0,0.0,130089.8,84,2021-32,2021-08
84,3309.44,4252.3,4581.73,2625.56,5784.97,1370.41,2948.73,1550.41,65603.37,44589.92,109110.29,82952.7,0.0,0.0,0.0,190149.96,85,2021-33,2021-08
85,885.49,1619.96,1527.82,573.46,1330.47,955.47,1520.13,752.4,80086.98,95758.68,77156.87,35596.94,0.0,0.0,0.0,67637.84,86,2021-34,2021-08
86,2515.93,1609.64,1318.14,924.62,2747.03,1183.58,1923.13,1089.01,271146.93,215142.39,298599.87,285699.16,0.0,0.0,0.0,97182.45,87,2021-35,2021-09
87,4593.76,3345.04,4877.57,1937.26,8165.6,2119.65,2222.86,1657.86,359488.4,275140.82,291078.68,275998.12,0.0,0.0,0.0,115929.0,88,2021-36,2021-09
88,1364.24,846.52,1578.59,373.65,1049.76,18.35,415.53,210.18,8682.27,-15472.97,2643.02,4426.23,0.0,0.0,0.0,20864.04,89,2021-37,2021-09
89,652.24,907.02,1991.85,849.46,1810.99,262.33,559.97,574.73,52984.73,42061.56,54008.54,96294.72,0.0,0.0,0.0,17257.95,90,2021-38,2021-09
90,157.2,1020.02,620.5,746.72,542.38,681.43,149.01,578.78,110059.45,48628.0,133659.45,40820.65,0.0,0.0,0.0,9572.5,91,2021-39,2021-09
91,1471.46,1264.5,2900.07,639.41,3797.65,1846.93,1395.71,783.05,120592.39,123052.53,100039.61,137829.4,0.0,0.0,0.0,31403.14,92,2021-40,2021-10
92,3493.71,2648.29,3712.26,1728.77,4614.47,3573.66,2583.49,1868.28,113140.52,77777.72,96034.82,118710.63,0.0,0.0,0.0,77710.44,93,2021-41,2021-10
93,988.3,2222.23,2306.45,699.23,1970.51,1266.32,746.6,612.39,129795.18,58632.64,123475.52,76358.2,0.0,0.0,0.0,43082.52,94,2021-42,2021-10
94,6288.84,5077.61,6045.02,1927.74,4862.62,3532.14,3502.43,1218.32,789451.25,252188.31,771466.6,675967.3,0.0,0.0,0.0,150854.81,95,2021-43,2021-10
95,5387.94,3936.78,3109.41,2128.73,6255.95,2645.99,1737.51,1408.32,412918.57,237522.95,277083.5,373719.24,0.0,0.0,0.0,131409.28,96,2021-44,2021-11
96,4911.35,3341.79,4271.67,2381.52,7447.22,1728.55,1960.33,1475.89,208315.11,49489.88,122437.01,103358.24,0.0,0.0,0.0,192968.89,97,2021-45,2021-11
97,1552.77,507.35,1646.43,645.14,915.43,961.34,1073.46,569.47,107337.5,78966.4,145978.5,119530.99,0.0,0.0,0.0,76779.51,98,2021-46,2021-11
98,1616.96,997.16,1686.55,929.17,982.66,526.75,551.1,221.23,159213.11,178728.53,86117.68,132659.69,0.0,0.0,0.0,65656.06,99,2021-47,2021-11
99,6178.05,6428.91,7737.46,2199.95,5787.0,1715.47,2657.99,1766.13,516018.49,437971.81,536462.22,299769.82,0.0,0.0,0.0,301367.8,100,2021-48,2021-12
100,6947.35,2600.45,8438.42,2242.46,6882.75,2765.51,3811.1,1895.79,159987.2,84277.82,378842.14,77837.06,0.0,0.0,0.0,339602.25,101,2021-49,2021-12
101,3083.42,3007.25,5209.28,2391.45,3969.72,2921.47,2316.93,970.99,144627.52,226471.04,453946.93,180974.32,0.0,0.0,0.0,217483.7,102,2021-50,2021-12
102,4463.96,5244.76,2720.63,3789.61,7522.29,2811.02,3092.35,1557.01,601008.6,478979.97,742728.05,428646.43,0.0,0.0,0.0,308193.96,103,2021-51,2021-12
103,1500.2,1342.96,1016.63,467.82,1048.33,21.02,1418.42,699.93,204479.66,30560.91,180904.72,94731.64,0.0,0.0,0.0,94171.17,104,2021-52,2021-12
104,525.76,2194.54,3598.65,903.98,794.63,726.01,217.14,1041.41,75288.02,61704.31,29758.51,11793.43,0.0,0.0,0.0,99383.31,105,2022-01,2022-01
105,127.56,771.94,225.83,998.98,1173.44,441.0,591.2,149.78,110504.46,4088.28,38686.45,85058.14,0.0,0.0,0.0,51855.38,106,2022-02,2022-01
106,3071.22,3705.25,3463.53,3786.05,5576.58,1679.42,1885.71,1104.83,439755.68,398910.76,980438.11,791257.2,0.0,0.0,0.0,209327.41,107,2022-03,2022-01
107,1245.01,1856.06,3077.94,715.46,1549.6,1596.89,501.2,788.29,152476.3,7692.0,245755.65,215748.07,0.0,0.0,0.0,62256.38,108,2022-04,2022-01
108,3819.3,2095.94,5936.44,1090.68,3393.54,2777.83,1987.18,1971.91,105838.01,39621.14,85857.68,69595.74,0.0,0.0,0.0,137902.95,109,2022-05,2022-02
