,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15,n_week,week_year,month_year
128,6209.84,3840.42,2639.74,2807.94,4669.25,861.75,1346.19,801.38,-44473.03,312111.61,235068.83,580596.85,0.0,0.0,0.0,162013.19,129,2022-25,2022-06
129,2559.2,0.0,3643.73,1095.91,10535.32,2173.53,3384.75,1322.12,181951.47,297832.87,908418.31,634166.05,0.0,0.0,0.0,148037.1,130,2022-26,2022-06
130,1781.6,1703.19,5021.36,0.0,9153.22,1463.3,3955.56,2079.96,722197.56,568482.68,600216.25,1310107.8,0.0,0.0,0.0,100616.42,131,2022-27,2022-07
131,12687.03,10636.63,15657.2,5145.59,21421.87,4809.64,12682.81,6650.71,2076559.8,2208607.87,2522514.46,1797006.26,0.0,0.0,0.0,347164.0,132,2022-28,2022-07
132,4296.32,6192.7,15856.97,7356.86,9627.37,2902.04,4556.74,3166.78,-3998.58,27403.41,703900.0,241909.32,0.0,0.0,0.0,163884.82,133,2022-29,2022-07
133,3186.46,6281.04,6610.7,4609.47,15087.83,1143.46,3749.83,1186.66,289837.39,670450.59,886921.87,1034014.29,0.0,0.0,0.0,127328.82,134,2022-30,2022-07
134,9146.0,7899.78,6956.06,6863.92,17171.98,1324.28,5618.15,2220.33,1933491.58,1790305.12,2337963.23,1405730.77,0.0,0.0,0.0,126637.38,135,2022-31,2022-08
135,14881.42,13718.34,16339.69,11802.8,13519.18,4296.02,13578.67,4500.26,2119522.83,1614884.45,3673421.84,1247156.74,0.0,0.0,0.0,187832.86,136,2022-32,2022-08
136,5017.22,8456.06,8716.74,4999.95,11182.39,4718.86,13706.33,4237.39,521725.84,521333.97,385864.02,300064.93,0.0,0.0,0.0,131081.54,137,2022-33,2022-08
137,16062.53,19331.34,26232.45,7614.35,24658.94,9442.46,17233.9,7634.77,3441866.44,2706968.24,2825320.17,2252884.01,0.0,0.0,0.0,221051.32,138,2022-34,2022-08
138,9090.26,5727.62,5683.42,3737.47,6771.34,2719.7,4342.37,4527.33,3220270.08,1794131.57,2982906.0,2097128.71,0.0,0.0,0.0,87041.49,139,2022-35,2022-09
139,20144.37,17841.49,39915.78,13664.17,32395.8,6216.96,20621.26,9457.98,3998536.84,6398542.4,6406657.65,3052875.52,0.0,0.0,0.0,229897.42,140,2022-36,2022-09
140,5852.01,11575.83,25167.11,4154.69,13035.43,5333.59,8071.65,5341.38,591031.58,292388.35,1527541.08,340154.73,0.0,0.0,0.0,154266.46,141,2022-37,2022-09
141,3221.64,5378.28,9194.86,1689.62,11742.54,2817.71,4299.5,740.14,212147.16,912717.55,736439.6,1060046.94,0.0,0.0,0.0,79874.23,142,2022-38,2022-09
142,1681.58,1203.58,0.0,0.0,1211.01,512.97,1744.15,569.14,290726.08,21249.13,0.0,420563.92,0.0,0.0,0.0,19958.07,143,2022-39,2022-09
143,16981.82,9920.31,20162.14,1835.1,22835.09,6063.61,10454.96,4069.28,2848899.96,2148534.68,2631202.61,2724747.27,0.0,0.0,0.0,243367.16,144,2022-40,2022-10
144,9022.88,4767.48,12947.28,4122.49,8723.36,3169.08,3785.85,2174.65,519020.5,1133699.93,540880.36,84161.59,0.0,0.0,0.0,126111.8,145,2022-41,2022-10
145,10514.25,7900.73,13168.5,3362.14,13257.88,4290.1,4885.95,5433.62,1778216.96,1705771.5,1274909.14,1265742.19,0.0,0.0,0.0,203479.8,146,2022-42,2022-10
146,14169.98,6123.38,23521.38,10954.15,27906.63,6625.08,5574.62,6116.91,5638575.92,6219872.06,3810094.38,5875647.38,0.0,0.0,0.0,341255.4,147,2022-43,2022-10
147,8235.13,11410.56,20514.12,13180.65,25823.01,3479.43,6844.98,3644.55,1366222.52,3439008.45,3319470.88,2376112.63,0.0,0.0,0.0,323025.79,148,2022-44,2022-11
148,11735.87,8507.66,15580.04,8732.3,12151.91,4839.31,7431.47,3692.5,522427.84,1099509.2,972945.29,-13408.49,0.0,0.0,0.0,322255.25,149,2022-45,2022-11
149,13686.07,10496.85,16964.0,6310.69,12228.19,5409.01,11632.08,3404.96,1860140.94,1912417.55,3602785.49,1921757.99,0.0,0.0,0.0,373166.48,150,2022-46,2022-11
150,15202.1,6154.09,22127.42,3701.95,13747.53,2944.22,3994.89,2928.38,4137078.38,4987761.6,2071575.95,3117332.45,0.0,0.0,0.0,272669.74,151,2022-47,2022-11
151,11561.55,7035.08,13854.57,4170.27,10089.08,1349.35,9092.57,2832.95,2354574.56,2768012.76,1070356.98,3974707.16,0.0,0.0,0.0,261357.11,152,2022-48,2022-11
152,19566.26,9947.97,40020.25,12568.89,22657.93,5839.69,11915.22,9283.44,1474293.84,2738303.6,987525.15,230759.13,0.0,0.0,0.0,427254.23,153,2022-49,2022-12
153,6409.41,2462.44,3533.25,1109.66,5882.84,697.03,2587.07,1868.13,1794175.67,529016.13,2042100.57,605505.42,0.0,0.0,0.0,97390.94,154,2022-50,2022-12
